Keyboard    isT:True|| cnt:0 || typee:1 || time:2091 || n:-4 || l:0 || specialKeys:0 || sumCharName:-1 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:1 || typee:2 || time:2137 || n:-4 || l:0 || specialKeys:0 || sumCharName:-1 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:2 || typee:1 || time:13000 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:3 || typee:3 || time:13002 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:4 || typee:2 || time:13088 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:5 || typee:1 || time:13172 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:6 || typee:3 || time:13173 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:7 || typee:2 || time:13281 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:8 || typee:1 || time:13345 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:9 || typee:3 || time:13346 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:10 || typee:2 || time:13402 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:11 || typee:1 || time:13433 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:12 || typee:3 || time:13434 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
